polisen|the police
sockret|the sugar
pepparn|the pepper
fläskköttet|the pork
veckan|the week
skjortan|the shirt
århundrade|century
perioder|periods
ögonblicket|a moment
sommaren|the summer
datum|date
veckor|weeks
kalender|calendar
köttet|the meat
citronen|the lemon
syskon|siblings
föräldrar|parents
fastrar|aunts
familj|family
farbror|uncle
syskonen|the siblings
heter|called
förälder|parent
bröllop|wedding
syskon|siblings
fru|wife
faster|aunt
bröllop|wedding
dagarna|the days
årets|of the year
kvart|quarter
dygn|day
festen|the party
halvår|six months
generation|generation
generationer|generations
perioden|the period
århundradets|of the century
årtionden|decades
århundraden|centuries
period|period
sekund|second
stund|while
född|born
sekunder|seconds
årtiondets|of the decade
årtionde|decade
ögonblick|moment
årstider|seasons
minut|minute
höst|fall
hösten|the autumn
årstiderna|the seasons
våren|the spring
minuter|minutes
sommar|summer
vinter|winter
vintern|the winter
midsommar|midsummer
vår|spring
september|September
vardag|everyday life
augusti|August
oktober|October
december|december
november|November
juli|July
januari|January
datum|date
februari|February
maj|May
datumet|the date
juni|June
april|April
mars|March
vecka|week
månader|months
ålder|age
lördag|Saturday
torsdag|Thursday
år|year
år|year
helgen|weekend
lördagar|Saturdays
söndag|Sunday
månad|month
helg|weekend
kalendrar|calendars
nätterna|the nights
fredag|Friday
onsdag|Wednesday
tisdagar|Tuesdays
måndagar|Mondays
morgonen|the morning
dagar|days
tisdag|Tuesday
pappor|fathers
pappa|dad
mamma|mother
systrar|sisters
systrarna|the sisters
bröder|brothers
dotter|daughter
systrars|sisters'
bror|Brother
mammorna|the mothers
pappas|dad's
son|son
sons|son's
syster|Sister
bröderna|the brothers
pappan|the father
natt|night
timme|hour
timmar|hours
eftermiddag|afternoon
dag|day
eftermiddagen|the afternoon
kväll|Evening
tid|time
fråga|question
svar|response
gröna|greens
svaret|the answer
svaren|the answers
frågor|questions
frågan|the question
jackorna|the jackets
tröjor|sweaters
gul|yellow
skärpet|the belt
hattar|hats
katternas|of cats
musen|the mouse
sko|shoe
bruna|brown
blått|blue
röda|red
halsdukar|neckwear
halsduk|scarf
slipsen|the tie
slips|tie
skjortor|shirts
kostymer|costumes
kläderna|the clothes
byxor|pants
hatt|hat
skon|the shoe
klänningen|the dress
kjol|skirt
klänningar|dresses
jackan|the jacket
kocken|the cook
restaurangen|the restaurant
grönt|green
grön|Green
brun|brown
grå|gray
brunt|brown
gråa|grey
blå|blue
rött|RED
röd|RED
gula|yellow
färger|colors
gult|yellow
blåa|blue
färg|color
kjolen|the skirt
skorna|the shoes
ficka|pocket
skärp|belt
knappar|buttons
fickan|the pocket
handskar|gloves
rock|coat
fickor|pockets
skärp|belt
slipsar|ties
rocken|the rock
slipsarna|the ties
knapp|button
halsduken|the scarf
handske|glove
strumpa|stocking
byxorna|the pants
kostym|suit
kostymen|the costume
skjorta|shirt
kostymerna|the costumes
strumpor|Socks
hattarna|the hats
hatten|the hat
kläder|clothes
jacka|jacket
jackor|jackets
tröjan|the shirt
skor|shoes
kjolarna|the skirts
tröja|sweater
tröjorna|the shirts
klänning|dress
restaurangernas|of restaurants
hundarnas|the dogs'
barnets|the child's
hunds|dog's
barns|children's
kockars|chef's
kockens|the cook's
kockarnas|of the cooks
hundens|the dog's
barnens|the children's
restaurangens|of the restaurant
barns|children's
flickans|the girl's
pojkarnas|the boys'
pojkens|the boy's
flickornas|the girls'
kattens|the cat's
kvinnans|woman's
katts|cat's
mannens|the man's
vargen|the wolf
kopp|cup
kock|chef
middagen|the dinner
älgar|Moose
flickorna|the girls
jordgubbar|strawberries
fiskarna|the fish
jordgubbarna|the strawberries
breven|the letters
älgarna|the moose
fiskar|fishes
pojkarna|the boys
måltiden|the meal
brödet|the bread
boken|the book
brevet|the letter
vegetarianen|the vegetarian
apelsinen|the orange
ölet|the beer
mus|mouse
varg|wolf
renen|the reindeer
myra|ant
myran|the ant
ren|clean
restaurang|restaurant
tallrik|plate
sked|spoon
glas|glass
gaffel|fork
kniv|knife
dryck|drink
middag|dinner
välkommen|Welcome
brev|mail
